Candidate_ID,SMILES,IFG_Score,Novelty_Tc,Scaffold,MW,LogP,PAINS_Flag,Residue_Map,Rationale
IFG-V5-LAB-110,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.935,0.232,Core_2,477.1,3.31,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-111,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.963,0.257,Core_3,467.7,2.76,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-112,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.971,0.252,Core_4,437.1,3.38,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-113,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.941,0.293,Core_5,481.1,2.51,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-114,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,1.037,0.271,Core_6,470.3,3.46,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-115,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.973,0.273,Core_7,482.7,3.68,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-116,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.955,0.237,Core_0,475.2,2.81,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-117,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.923,0.231,Core_1,461.6,4.36,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-118,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.982,0.277,Core_2,427.7,2.96,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-119,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.974,0.253,Core_3,438.4,2.84,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-120,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.947,0.221,Core_4,464.3,3.22,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-121,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.964,0.336,Core_5,472.7,2.19,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-122,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.958,0.224,Core_6,477.0,2.8,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-123,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.953,0.27,Core_7,477.3,2.6,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
IFG-V5-LAB-124,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.968,0.231,Core_0,446.9,4.08,False,"ASP-82, LYS-45",Strong cross-attention targeting the KRAS switch-II pocket; highly plausible synthetically.
